setting,feature_set,classifier,accuracy,f1_macro,train_time_s
Raw I-V + RF,raw_iv_curve,RF,0.8983333333333333,0.8976596242701219,0.41373181343078613
I-V Features + RF,iv_features,RF,0.7933333333333333,0.7914188245646244,0.190781831741333
PINN Params + RF,pinn_params,RF,0.9579166666666666,0.9579839791204591,0.16323351860046387
PINN Params + I-V Features + RF,pinn_iv_fused,PINN-RF,0.9566666666666667,0.9567348730789571,0.33087825775146484
PINN Params + I-V Features + SVM,pinn_iv_fused,SVM,0.9620833333333333,0.962195868179359,0.33565592765808105
